wid,agegroup,gender,hand,thirdgrade_usa,thirdgrade_usa_region,s1_dae,s1_time,s2_dae,s2_time,s3_dae,s3_time,db_version
593,18-24,Male,Left,True,Midwest,0.0,Late evening (later than 7:30pm),30.0,Late evening (later than 7:30pm),61.0,Early evening (5pm-7:30pm),version5
375,41-60,Male,Left,False,,0.0,Late Evening,,,242.0,Early Afternoon,version5
541,18-24,Male,Left,True,Midwest,0.0,Late Morning,24.0,Late Afternoon,49.0,Early Morning,version5
270,25-40,Female,Left,True,Midwest,0.0,Early Afternoon,29.0,Early Afternoon,85.0,Late Afternoon,version5
648,41-60,Male,Left,True,Midwest,0.0,Early evening (5pm-7:30pm),28.0,Late morning (9:30am-12:00pm),56.0,Late evening (later than 7:30pm),version5
454,18-24,Female,Left,False,,0.0,Late Evening,,,242.0,Early Afternoon,version5
218,18-24,Male,Left,True,South,0.0,Early Evening,42.0,Late Afternoon,82.0,Late Afternoon,version5
175,18-24,Female,Left,True,Midwest,0.0,Late Evening,78.0,Late Morning,99.0,Late Morning,version5
493,,Female,Left,True,Midwest,0.0,,29.0,Early Evening,110.0,Early Afternoon,version5
484,18-24,Female,Left,True,Midwest,0.0,Late Afternoon,26.0,Early Evening,73.0,Early Afternoon,version5
546,18-24,Female,Left,True,,0.0,Early Morning,26.0,Late Afternoon,49.0,Early Afternoon,version5
632,18-24,Female,Left,True,West,0.0,Late afternoon (2:30pm-5pm),40.0,Early afternoon (12:00pm-2:30pm),97.0,Early evening (5pm-7:30pm),version5
223,18-24,Female,Left,True,Midwest,0.0,Early Evening,252.0,Early Evening,272.0,Late Afternoon,version5
606,18-24,Male,Left,True,South,0.0,Late afternoon (2:30pm-5pm),49.0,Early evening (5pm-7:30pm),146.0,Late afternoon (2:30pm-5pm),version5
422,25-40,Male,Left,False,,0.0,Early Afternoon,23.0,Early Evening,54.0,Early Evening,version5
565,18-24,Female,Left,True,Northeast,0.0,Late afternoon (2:30pm-5pm),87.0,Late morning (9:30am-12:00pm),130.0,Early afternoon (12:00pm-2:30pm),version5
712,18-24,Female,Left,True,Midwest,0.0,Late afternoon (2:30pm-5pm),28.0,Late evening (later than 7:30pm),52.0,Late evening (later than 7:30pm),version5
710,41-60,Male,Left,True,Northeast,0.0,Late afternoon (2:30pm-5pm),54.0,Late afternoon (2:30pm-5pm),77.0,,version5
458,18-24,Male,Left,True,Midwest,0.0,Early Evening,21.0,Early Afternoon,45.0,Late Afternoon,version5
25,41-60,male,left,True,midwest,0.0,earlyevening,35.0,latemorning,82.0,lateevening,version5
531,18-24,Male,Left,True,West,0.0,Late Morning,28.0,Late Evening,50.0,Early Evening,version5
186,41-60,Male,Left,True,Midwest,0.0,Early Evening,42.0,Late Afternoon,83.0,Late Evening,version5
542,18-24,Male,Left,True,South,0.0,Early Afternoon,30.0,Early Afternoon,51.0,Early Afternoon,version5
293,25-40,Female,Left,True,South,0.0,Early Evening,111.0,Early Evening,146.0,Late Morning,version5
130,25-40,male,left,True,south,0.0,earlyafternoon,21.0,earlyafternoon,58.0,latemorning,version5
703,25-40,Female,Left,True,Midwest,0.0,Late morning (9:30am-12:00pm),21.0,Late evening (later than 7:30pm),46.0,Late afternoon (2:30pm-5pm),version5
125,18-24,male,left,True,midwest,0.0,earlyevening,42.0,,82.0,earlyevening,version5
431,18-24,Female,Left,True,Northeast,0.0,Early Morning,33.0,Early Afternoon,55.0,Early Afternoon,version5
333,41-60,Male,Left,True,Midwest,0.0,,55.0,Late Evening,,,version5
402,18-24,Female,Left,True,Midwest,0.0,Late Morning,23.0,Late Evening,43.0,Late Evening,version5
69,18-24,female,left,True,midwest,0.0,earlyafternoon,38.0,lateevening,61.0,latemorning,version5
287,18-24,Female,Left,True,Midwest,0.0,Early Afternoon,39.0,Early Afternoon,66.0,Late Morning,version5
638,18-24,Female,Left,True,Midwest,0.0,Late afternoon (2:30pm-5pm),27.0,Early evening (5pm-7:30pm),51.0,Late evening (later than 7:30pm),version5
38,41-60,female,left,True,midwest,0.0,lateafternoon,23.0,lateevening,54.0,earlymorning,version5
124,18-24,female,left,True,midwest,0.0,earlyevening,24.0,earlyafternoon,52.0,lateevening,version5
23,25-40,female,left,True,midwest,0.0,earlyafternoon,35.0,earlymorning,64.0,latemorning,version5
184,18-24,Female,Left,True,Midwest,0.0,Early Morning,30.0,Late Evening,200.0,Late Afternoon,version5
136,41-60,female,left,True,midwest,0.0,earlyafternoon,34.0,earlymorning,67.0,earlymorning,version5
444,25-40,Male,Left,True,Midwest,0.0,Late Morning,28.0,Early Afternoon,191.0,Early Evening,version5
660,18-24,Female,Left,True,Midwest,0.0,Late afternoon (2:30pm-5pm),33.0,Late morning (9:30am-12:00pm),68.0,Early afternoon (12:00pm-2:30pm),version5
63,18-24,female,left,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon,version5
368,18-24,Female,Left,True,Midwest,0.0,Late Morning,34.0,Late Morning,58.0,Late Morning,version5
699,61+,Female,Left,True,Midwest,0.0,Late afternoon (2:30pm-5pm),23.0,Late afternoon (2:30pm-5pm),51.0,Early afternoon (12:00pm-2:30pm),version5
598,25-40,Male,Left,True,Midwest,0.0,Early evening (5pm-7:30pm),82.0,Early evening (5pm-7:30pm),114.0,Late morning (9:30am-12:00pm),version5
440,18-24,Female,Left,True,Midwest,0.0,Late Evening,49.0,Late Evening,77.0,Late Afternoon,version5
74,25-40,male,left,True,midwest,0.0,earlyafternoon,23.0,earlymorning,49.0,latemorning,version5
