wid,agegroup,gender,hand,thirdgrade_usa,thirdgrade_usa_region,s1_dae,s1_time,s2_dae,s2_time,s3_dae,s3_time,db_version
180,61+,Female,Right,True,Midwest,0.0,Late Morning,28.0,Late Morning,66.0,Late Morning,version5
410,18-24,Female,Right,True,Midwest,0.0,Late Afternoon,32.0,Late Evening,54.0,Early Evening,version5
520,18-24,Female,Right,True,Midwest,0.0,Late Evening,26.0,Late Morning,54.0,Late Morning,version5
233,18-24,Male,Right,False,,340.0,Late Evening,380.0,Late Evening,0.0,Late Evening,version5
35,41-60,female,right,False,,0.0,lateevening,24.0,latemorning,64.0,earlyevening,version5
661,18-24,Female,Right,True,Midwest,0.0,Late Afternoon,41.0,Late Afternoon,57.0,Late Evening,version5
420,18-24,Female,Right,True,,0.0,Late Afternoon,52.0,Early Afternoon,73.0,Late Afternoon,version5
62,41-60,female,right,True,midwest,0.0,lateevening,54.0,latemorning,98.0,earlyevening,version5
572,18-24,Female,Right,True,Midwest,0.0,Late morning (9:30am-12:00pm),24.0,Late morning (9:30am-12:00pm),54.0,Early afternoon (12:00pm-2:30pm),version5
581,41-60,Male,Right,True,South,0.0,Late afternoon (2:30pm-5pm),22.0,Late morning (9:30am-12:00pm),50.0,Early afternoon (12:00pm-2:30pm),version5
411,18-24,Female,Right,False,,0.0,Late Evening,30.0,Late Afternoon,49.0,Late Afternoon,version5
552,18-24,Female,Right,True,Northeast,0.0,Late afternoon (2:30pm-5pm),27.0,Late afternoon (2:30pm-5pm),49.0,Early evening (5pm-7:30pm),version5
435,18-24,Female,Right,True,Midwest,0.0,Late Evening,42.0,Early Afternoon,66.0,Early Morning,version5
42,25-40,Female,Right,True,South,0.0,Late Morning,97.0,Late Morning,31.0,Late Morning,version5
189,18-24,Female,Right,True,Midwest,0.0,Late Morning,33.0,Late Evening,72.0,Early Afternoon,version5
473,18-24,Male,Right,True,Midwest,0.0,Late Morning,22.0,Early Afternoon,56.0,Late Evening,version5
94,41-60,female,right,True,south,0.0,lateevening,44.0,lateevening,79.0,earlyevening,version5
590,61+,Male,Right,True,Midwest,0.0,Early afternoon (12:00pm-2:30pm),23.0,Late morning (9:30am-12:00pm),57.0,Early morning (earlier than 9:30am),version5
191,25-40,Female,Right,True,Midwest,0.0,Early Afternoon,61.0,Late Morning,270.0,Late Evening,version5
30,18-24,male,right,True,midwest,0.0,,23.0,latemorning,54.0,lateafternoon,version5
486,18-24,Female,Right,True,Midwest,0.0,Late Afternoon,21.0,Late Evening,68.0,Early Evening,version5
372,18-24,Female,Right,True,Midwest,0.0,Late Morning,34.0,Late Afternoon,59.0,Late Morning,version5
319,25-40,Female,Right,True,West,0.0,Early Afternoon,34.0,Early Morning,72.0,Early Morning,version5
177,18-24,Female,Right,True,Midwest,0.0,Early Evening,70.0,Early Afternoon,94.0,Late Morning,version5
589,41-60,Male,Right,True,Midwest,0.0,Late afternoon (2:30pm-5pm),21.0,Late evening (later than 7:30pm),48.0,Late evening (later than 7:30pm),version5
487,25-40,Male,Right,False,,0.0,Late Morning,42.0,Early Afternoon,91.0,Early Evening,version5
417,18-24,Male,Right,True,Midwest,0.0,Early evening (5pm-7:30pm),24.0,Late morning (9:30am-12:00pm),78.0,Late morning (9:30am-12:00pm),version5
206,41-60,Female,Right,True,Midwest,0.0,Early Evening,45.0,Early Evening,80.0,Late Afternoon,version5
406,18-24,Female,Right,True,Midwest,0.0,Early Afternoon,22.0,Late Evening,49.0,Late Evening,version5
547,18-24,Female,Right,True,South,0.0,Early afternoon (12:00pm-2:30pm),33.0,Early morning (earlier than 9:30am),63.0,Early evening (5pm-7:30pm),version5
717,18-24,Female,Right,True,West,0.0,Early afternoon (12:00pm-2:30pm),53.0,Late morning (9:30am-12:00pm),169.0,Late evening (later than 7:30pm),version5
70,25-40,male,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,58.0,latemorning,version5
49,41-60,Female,Right,True,Northeast,0.0,Early Afternoon,41.0,Early Afternoon,77.0,Early Afternoon,version5
419,18-24,Female,Right,True,West,0.0,Late Afternoon,23.0,Late Afternoon,50.0,Late Evening,version5
344,25-40,Female,Right,True,South,0.0,Late Morning,26.0,Early Evening,67.0,Early Evening,version5
212,61+,Female,Right,True,Midwest,0.0,Early Afternoon,55.0,Late Afternoon,266.0,Late Afternoon,version5
399,25-40,Female,Right,True,West,0.0,Late Evening,168.0,Late Evening,216.0,Late Evening,version5
244,41-60,Female,Right,True,Midwest,0.0,Late Morning,23.0,Early Afternoon,117.0,Late Morning,version5
471,18-24,Male,Right,True,Midwest,0.0,Late Morning,20.0,Late Evening,44.0,Late Afternoon,version5
83,25-40,female,right,True,midwest,0.0,lateafternoon,29.0,latemorning,61.0,lateafternoon,version5
518,18-24,Female,Right,True,Midwest,0.0,Early Evening,47.0,Late morning (9:30am-12:00pm),47.0,Late Morning,version5
602,18-24,Female,Right,True,Midwest,0.0,Early afternoon (12:00pm-2:30pm),37.0,Early evening (5pm-7:30pm),63.0,Late morning (9:30am-12:00pm),version5
122,18-24,female,right,True,midwest,0.0,earlyafternoon,40.0,earlyafternoon,86.0,lateevening,version5
566,41-60,Female,Right,True,Midwest,,,0.0,Early evening (5pm-7:30pm),21.0,Early evening (5pm-7:30pm),version5
679,18-24,Female,Right,True,Midwest,0.0,Early evening (5pm-7:30pm),22.0,Late evening (later than 7:30pm),52.0,Late afternoon (2:30pm-5pm),version5
553,18-24,Female,Right,True,Northeast,0.0,Late morning (9:30am-12:00pm),28.0,Early evening (5pm-7:30pm),62.0,Early afternoon (12:00pm-2:30pm),version5
595,18-24,Male,Right,True,Midwest,0.0,Late evening (later than 7:30pm),28.0,Late evening (later than 7:30pm),50.0,Late afternoon (2:30pm-5pm),version5
315,18-24,Female,Right,True,Northeast,0.0,Early Afternoon,35.0,Late Afternoon,93.0,Late Evening,version5
705,41-60,Female,Right,True,Midwest,0.0,Late morning (9:30am-12:00pm),21.0,Late morning (9:30am-12:00pm),53.0,Late afternoon (2:30pm-5pm),version5
10,18-24,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,58.0,latemorning,version5
415,61+,Female,Right,True,,0.0,Early morning (earlier than 9:30am),40.0,Early morning (earlier than 9:30am),73.0,Early afternoon (12:00pm-2:30pm),version5
314,18-24,Female,Right,True,Midwest,0.0,Early Afternoon,35.0,Early Afternoon,84.0,Late Evening,version5
561,25-40,Female,Right,True,Midwest,0.0,Late afternoon (2:30pm-5pm),28.0,Early morning (earlier than 9:30am),57.0,Early afternoon (12:00pm-2:30pm),version5
521,18-24,Female,Right,True,Midwest,0.0,Late Afternoon,22.0,Late Morning,44.0,Early Evening,version5
356,18-24,Female,Right,True,Midwest,0.0,Early Afternoon,21.0,Early Evening,42.0,Early Morning,version5
492,25-40,Female,Right,False,,0.0,Late Afternoon,25.0,Early Afternoon,46.0,Early Evening,version5
425,25-40,Male,Right,False,,0.0,Late Evening,32.0,Late Morning,61.0,Late Evening,version5
555,18-24,Female,Right,True,Midwest,0.0,Early evening (5pm-7:30pm),49.0,Early evening (5pm-7:30pm),94.0,Early afternoon (12:00pm-2:30pm),version5
476,25-40,Female,Right,True,South,0.0,Early Afternoon,20.0,Late morning (9:30am-12:00pm),138.0,Late Morning,version5
254,18-24,Female,Right,True,Midwest,0.0,Early Afternoon,35.0,Early Afternoon,84.0,Late Evening,version5
528,18-24,Male,Right,True,Midwest,0.0,Early Evening,59.0,Late Afternoon,95.0,Late Afternoon,version5
339,25-40,Female,Right,True,South,0.0,Late Morning,28.0,Late Afternoon,61.0,Early Afternoon,version5
305,41-60,Female,Right,True,Midwest,0.0,Early Evening,48.0,Late Afternoon,86.0,Late Afternoon,version5
514,25-40,Female,Right,True,Midwest,0.0,Late Morning,22.0,Early Morning,60.0,Late Evening,version5
629,41-60,Female,Right,True,Midwest,0.0,Late afternoon (2:30pm-5pm),22.0,Late morning (9:30am-12:00pm),50.0,Late afternoon (2:30pm-5pm),version5
392,18-24,Female,Right,True,Midwest,0.0,Late Morning,31.0,Early Evening,61.0,Late Afternoon,version5
162,25-40,Female,Right,True,Midwest,0.0,Late Afternoon,76.0,Early Afternoon,116.0,Late Morning,version5
683,18-24,Female,Right,True,West,0.0,Late afternoon (2:30pm-5pm),123.0,Late evening (later than 7:30pm),157.0,Late morning (9:30am-12:00pm),version5
441,18-24,Male,Right,True,Midwest,0.0,Early Afternoon,27.0,Late Afternoon,49.0,Early Afternoon,version5
460,18-24,Male,Right,True,Midwest,0.0,Late Afternoon,22.0,Late Afternoon,74.0,Late Evening,version5
61,25-40,female,right,True,south,0.0,earlyafternoon,23.0,earlyafternoon,48.0,latemorning,version5
150,41-60,Female,Right,True,Midwest,0.0,Late Morning,105.0,Late Evening,200.0,Early Evening,version5
596,18-24,Male,Right,True,Midwest,0.0,Late evening (later than 7:30pm),77.0,Early morning (earlier than 9:30am),115.0,Late morning (9:30am-12:00pm),version5
522,18-24,Female,Right,True,Midwest,0.0,Late Afternoon,23.0,Late Afternoon,49.0,Late Afternoon,version5
452,41-60,Female,Right,True,Midwest,0.0,Early Afternoon,27.0,Late Morning,56.0,Early Evening,version5
