"wid","agegroup","gender","hand","thirdgrade_usa","thirdgrade_usa_region","s1_dae","s1_time","s2_dae","s2_time","s3_dae","s3_time","db_version"
"0180","61+","Female","Right","TRUE","Midwest","0","Late Morning","28","Late Morning","66","Late Morning","version5"
"0410","18-24","Female","Right","TRUE","Midwest","0","Late Afternoon","32","Late Evening","54","Early Evening","version5"
"0593","18-24","Male","Left","TRUE","Midwest","0","Late evening (later than 7:30pm)","30","Late evening (later than 7:30pm)","61","Early evening (5pm-7:30pm)","version5"
"0520","18-24","Female","Right","TRUE","Midwest","0","Late Evening","26","Late Morning","54","Late Morning","version5"
"0233","18-24","Male","Right","FALSE","NA","340","Late Evening","380","Late Evening","0","Late Evening","version5"
"0035","41-60","female","right","FALSE","NA","0","lateevening","24","latemorning","64","earlyevening","version5"
"0661","18-24","Female","Right","TRUE","Midwest","0","Late Afternoon","41","Late Afternoon","57","Late Evening","version5"
"0420","18-24","Female","Right","TRUE","NA","0","Late Afternoon","52","Early Afternoon","73","Late Afternoon","version5"
"0062","41-60","female","right","TRUE","midwest","0","lateevening","54","latemorning","98","earlyevening","version5"
"0572","18-24","Female","Right","TRUE","Midwest","0","Late morning (9:30am-12:00pm)","24","Late morning (9:30am-12:00pm)","54","Early afternoon (12:00pm-2:30pm)","version5"
"0581","41-60","Male","Right","TRUE","South","0","Late afternoon (2:30pm-5pm)","22","Late morning (9:30am-12:00pm)","50","Early afternoon (12:00pm-2:30pm)","version5"
"0411","18-24","Female","Right","FALSE","NA","0","Late Evening","30","Late Afternoon","49","Late Afternoon","version5"
"0552","18-24","Female","Right","TRUE","Northeast","0","Late afternoon (2:30pm-5pm)","27","Late afternoon (2:30pm-5pm)","49","Early evening (5pm-7:30pm)","version5"
"0435","18-24","Female","Right","TRUE","Midwest","0","Late Evening","42","Early Afternoon","66","Early Morning","version5"
"0042","25-40","Female","Right","TRUE","South","0","Late Morning","97","Late Morning","31","Late Morning","version5"
"0189","18-24","Female","Right","TRUE","Midwest","0","Late Morning","33","Late Evening","72","Early Afternoon","version5"
"0473","18-24","Male","Right","TRUE","Midwest","0","Late Morning","22","Early Afternoon","56","Late Evening","version5"
"0094","41-60","female","right","TRUE","south","0","lateevening","44","lateevening","79","earlyevening","version5"
"0590","61+","Male","Right","TRUE","Midwest","0","Early afternoon (12:00pm-2:30pm)","23","Late morning (9:30am-12:00pm)","57","Early morning (earlier than 9:30am)","version5"
"0191","25-40","Female","Right","TRUE","Midwest","0","Early Afternoon","61","Late Morning","270","Late Evening","version5"
"0030","18-24","male","right","TRUE","midwest","0","NA","23","latemorning","54","lateafternoon","version5"
"0486","18-24","Female","Right","TRUE","Midwest","0","Late Afternoon","21","Late Evening","68","Early Evening","version5"
"0375","41-60","Male","Left","FALSE","NA","0","Late Evening","NA","NA","242","Early Afternoon","version5"
